JobRole,Location,"Gross Annual Income (Lower), K","Gross Annual Income (Upper), K",Net MonthIncome (Lower),Net MonthIncome (Upper)
Healthcare Representative,Australia,90,120,5856,7544
Human Resources,Australia,90,120,5856,7544
Laboratory Technician,Australia,75,92,5013,5969
Manager,Australia,150,210,9119,12069
Manufacturing Director,Australia,117,160,7376,9644
Research Director,Australia,175,224,10432,12711
Research Scientist,Australia,75,92,5013,5013
Sales Executive,Australia,110,140,6982,8594
Sales Representative,Australia,75,100,5013,6419
,,,,,
